query,ids
4870,[12218   615  7407 16296 15667 16756 22211 17843 19227 16908]
4871,[ 7677  5407 15172 21308 11367 12073 16698  6233 18342  3670]
4872,[13207  9810 13545 12938 20741 15837  9132 16905 18847  9002]
4873,[ 2714 17068  8599  2346 16908 18627  9336 22211  9358  4689]
4874,[17362  1009  1254  7123 21690  5192 10674 22820 20333  1894]
4875,[13621 11236  7628 12159 11283 10628  6925  1939 11715 20608]
4876,[12792 20360 17291  7105 17931  7201 18460 20202 15616 16030]
4877,[16807 20149 16399 19826  6715 18434 16315  8829 16247  6208]
4878,[ 8752  7201  7070 16347  8299  5697 13800 21404 13955 16769]
4879,[21363 21184 21836 21736 19925 21437 22102 21139 20989 21374]
4880,[17965 15827 14033  4032  9133 11461  2406  2083  8197  9039]
4881,[14368 14045 11673   593 17116  3797  1955 10085 21189  9549]
4882,[20063 12717 17100 20621  7196 11101   746 21053 13963 13134]
4883,[11539 21938  2680 16030 11442  4648  4200 11123  1300 14320]
4884,[14072 10846  1965 20051 19633  8141 22296 18109 11955  7942]
4885,[18664  2064  4527 15966 10207 17077 16588 11358 12719 12576]
4886,[20316 13021 11993 20314 22554 16112  6883 20199  8839 13546]
4887,[ 4157  7554 13810  3375  2236  4717 13684  2025  1859  8683]
4888,[14092 15879 11734  5026  2917 15893 16553 15904  4366 12663]
4889,[16581 20149  3212 13864  8351 16757 17296 10855 20396 20527]
4890,[ 8560 11795  8214 16972 13628  3422 21873  8411 13275   922]
4891,[ 9904  3865 13526  4078 10945 21770 16782 15656   846 12468]
4892,[15271 12179 10106 22373 14359 20629  8472 13398  7806  4476]
4893,[ 1968  3082  8817 12369 13104 17245  7635  1018  4059   925]
4894,[20344  2716 16766  9325  8816 11426  9907  2714 19532 17773]
4895,[18089 11358 20701 17335  9799 13635 14063 22756  2313 11528]
4896,[14063  6928 20701 22684 16510 21453 22756 17103 10989 13635]
4897,[19308 14676  8827  5495 19185  9393 22211 21143 16644 19103]
4898,[19740 16705  3273 18602  3817  4216  9469 16724  1500  1975]
4899,[ 4692   662 13017  8490 16449 16307  1509 16295 16193  4132]
4900,[ 5810  2329  4717 14967 15531  7950 12797 11656  3374 19953]
4901,[13563 14063 10770  4445 20142 12789  4601 17059 13464 11358]
4902,[ 7447  2167  8000  5520  7490 17637 20351 17628 12199  5836]
4903,[16899 16639  8350  1247 22817  2608 20360 12792 19991  7617]
4904,[20669 13057  7388 15318  3942  4547 13443  5376  7291  6285]
4905,[ 1724 21819  1802  1445  2602 18046  6432 17313  2238 22148]
4906,[21803  1167 18322  1316  5874 19953 13459 19324  7247  7124]
4907,[ 7514 17245 21288  9518 17256 12562 22990  4892 11532 16227]
4908,[20360  7105 21060  7201 11020 21404  8752 19667  7015  8299]
4909,[22430  2316 22506 13007  6696 12124 21907   785  4477 20340]
4910,[20080  1866  1825 18997  5050 13647   784 10770  2083  9480]
4911,[20964  3029  7585 15632 15596 16295 16307 19369  3986 15342]
4912,[ 4689 11479 14065 17234 16908 12218 17843 21394 17714  3613]
4913,[10923 17714  1036 14065 17234  2717 20541  4689  3789 14408]
4914,[11751  6924 17820 14914 13486  5776  7598  4207  1827 14132]
4915,[16989  7247  9447  3375 18210 18602 13644 15746  9751  6607]
4916,[13986 17169 20596  1585  6326 18695  1545  8880  1440  7118]
4917,[15062  5630 20488  6362  9481 20798 19852 13926  5013 14340]
4918,[19588 19919 20493 15047 17995 16369 12716  7148 18852  7646]
4919,[17628 20088 11162 22595 20351 16775 11488  5841 14739 23028]
4920,[19690 12108 19353  6109 22506  4477  2116 16486 13090 16196]
4921,[15354  6335 22292  8471 21636 22459 21634 21051 14591  6229]
4922,[19867  2707 14205 12874 16289 13879 18313 16372 10393 11387]
4923,[ 5040  7738  2113  3175  4113  2810 21530 14998  6421  9471]
4924,[15401 21019 18473 20905  4917  1549  7504 10142  1616 21636]
4925,[17806  8971  2862 12608 12350  8377  4810 10412 18056 18591]
4926,[16789 13217 14318 22196 18142  7179 18684 18398 13968 15362]
4927,[11820 13118  1749 17372  2009 15501 19901 12975 16801 21851]
4928,[17064 23162 23055  6255 15302  1659 15442 18158 12248 21702]
4929,[14730  4093 19553 12104 18465  8000 14196  1143 22551  1661]
4930,[16498 16978  7975 20321  4664 20700  4193  4153 23041  1872]
4931,[ 5992  6459 22156 14943  5252 10344 14997  4468 16855  3978]
4932,[13098 16789  4904 18040 16534  1614 18230  6139  6655 20127]
4933,[20609 16154 21458 20653  9967 19962 15388 19198 15739 18230]
4934,[10977  5313 15904 16552  4727 19019  4728 19693 19565  5035]
4935,[  742  7801 21173 22034 16083 13109 17212  6212  8449  7723]
4936,[ 1227  3402 17915 14752 14739 23162  7329  4373 12333  8362]
4937,[ 7504 17077  1878 22148 10017  1875 11041  4527  2064  3874]
4938,[16295 20964  5052  5729  3029 16193 15632  1814  6526 16307]
4939,[16524  2021  4537 18642 16017  4689 17234  4200 11479  1051]
4940,[14997 16986 14875  2236  6947 15227 16855 19447  5865  7655]
4941,[ 5976 11775 10026 11258   859  2856 10909 21691 22159 10021]
4942,[ 3469 15239  1495 19299  8769  3392 19279  7241  4960  8070]
4943,[ 2447  5642 15782  3075  8432  4754 13290 14368 17249 11652]
4944,[16518 20790  5874  6261  8481 13039  8228 14257  7182 16440]
4945,[ 4982 13688  7355  9132 20817 16498 15770  3846 16028 20741]
4946,[16154  7973 13945  4763 13810 20788  5178  7546 20609 15388]
4947,[21530 19018  9604 11118 21440   921  1912  7991  8131 12332]
4948,[10119 16233  9732  7033 15406  7207 16544  8630 12798 13623]
4949,[17995 17746  7849  6247 20493 19702 13605  9659  8603 21496]
4950,[17378  2363 13700 12797 11459  9902 16639 17066 16802  7728]
4951,[ 3068 14605 10358 10331 15245  7080  2692 15252 10764  8051]
4952,[18446  3070 16898 13425  4320  8419 19149  1014 12148  8042]
4953,[18760  1966  2536 15651  3453  1254  6715 17152  9751  9469]
4954,[ 7462  5829  3332  8618  3376 10049  9997  8718 13867 16506]
4955,[ 4149 19672  7490 10270 17726 19133  5499  7124 11363  9734]
4956,[16399 15600 10937  1594 14205 16079  1596  8341 12645 16315]
4957,[15442 13044 22722  8953 22292   840  3095 23055 21950 22621]
4958,[17813 13298  5769  7213 11314  3677 21777  5003  7070 10473]
4959,[11418  8751 16960  5034 10101  2244 16850 20700  5001  3255]
4960,[19080 17772 10690 17763  9388 16792 17341 12130  5470 10343]
4961,[19535  3065  2007  2786 14933  1857 12111 20324 13621  1017]
4962,[ 3546 21930  9378 14024  3262  2417  5453 21367  9838  7575]
4963,[13041 21245 11231  6014  9546 19378 14904 12424  8519  5659]
4964,[18309 13075 20566 12426 11631  7294 14731 18687  7463  6585]
4965,[ 9320  7770 23002  9822 18968 19342 17647  4431  5409  6259]
4966,[16193 20203  7550 16510 16551 16426 15342 16206 22756 14063]
4967,[10153  4110 17449 20129 21458  3438 12729  8683  2314 18188]
4968,[ 1536  7145  1587 18444 16239  9993 10424  8631 10204 12478]
4969,[ 2030 21731  3074  5662  8758 20333 15655  1840 15319  9657]
4970,[17169  1695 10438 21052 22120  7118  2700  4884  1767 16792]
4971,[ 7975  1872 19250  1616  1023  1513 23041 21181 21966 14293]
4972,[10937 15656 16315 12697  5938 16125 10393 21620 16005  4157]
4973,[ 7118 13968  3055  6326  6942  8880  1941  3020 18432  7966]
4974,[ 1234 17106 18426  2244  1380  6563 14843 14734 12727  2890]
4975,[10285 16899  4248 21592 19941  1935  2167 19047 18603 17931]
4976,[ 8042 21363  1359  6796  9335  4203 21836 18240  8419  5833]
4977,[13945 13572  1334 19532 16522  7973  9907  9469  8816  6225]
4978,[10493 16345 16570 16266 10435 13141  4917 10142  1937  1593]
4979,[ 4391 19027 18705  6357 21862  7441 16273  9164 20713 18597]
4980,[21689 17381  6113  9903  7378 10164  8131 10333 11195  8100]
4981,[ 9549 16224  1790 10085 14581 14279 20897  3979 12463 16382]
4982,[14875 18430  7247 19447  4213  2236  5697 17319 15227  8591]
4983,[18402 13475 19192 20606  5415 15316 17299 13729 20943  8079]
4984,[17066 22960 18109 18328  8082  3402  3982 19680  7434 18088]
4985,[18088 17859  2916 19925 10259 10680  6678 10842 10789 16043]
4986,[15600 16372 15823 12798 13168 16247  2707 18313  1596  1594]
4987,[ 1560  2692 15477 17391 22320  1074 20290 11086  3040  6230]
4988,[21437 21363 21186 21374 19250 22102 21184 22713 21298 21836]
4989,[20906  1638  4055 14591  7293 22808 17246  7837  5729 11774]
4990,[12576 13969  1143  1348  9820   892  9480 12101  4969  3874]
4991,[ 1746 14869 11281  3246  3411  3712 20684 22146 11113  3589]
4992,[17615 14201 13316 20945  3856 13535 16018 15803  1974  2472]
4993,[ 7188 20324  7201 10859 10285  9647  8771  2745 23093 19295]
4994,[11378  1557  9132  3422 10963 14005 20700 11254 11017 18473]
4995,[ 2176 21137  8185 13968  1578   765  1730 22118 12336 10438]
4996,[10071  2529 13994  7514 15746 10946  5622  5907  7928 18576]
4997,[18433  8617 16807 16399 12710  9603 16412  8397 16247 15600]
4998,[14063 17317 21453  7550 16564  7928  7400 16135 12789 13793]
4999,[13704 18819 16947 10238 10004 10918  1181  9601 16803  1523]
5000,[ 7928  9799 22764   892  4969 16139 16044 22588 12991 17037]
5001,[ 8618  3858  8432 17880   785 13007 20208 10391  5026  3862]
5002,[13140 11508  6091  9072 15943 12955 16266 15796 18425 16317]
5003,[ 4892  8649  6771  2729 14790 18886 20485  3859 16544 16383]
5004,[16371  8343 16113 13879 13253  7180 16069  4870 21443  6117]
5005,[ 5600  2943 18457 17206 16568  8840 10713 12135 17832 21348]
5006,[ 4477  3079 11244 22430 21211  3435  2116  6771 18463  1859]
5007,[10071  2077  5622  7514 20701  9799  4969 17245  1683 22036]
5008,[14875 16986  7602  4776 14997 18430 19447 13555  9751 16855]
5009,[ 8914  5600 18457  6438  5453 23062  5196  5864  6684 13374]
5010,[ 4132  1509 10473 10468  9055 13532   662  1684  1600  8197]
5011,[16510 12789 22756 13371 19242  2695 15342 20701 16426  6928]
5012,[15388 17843  2714 16296  1550  2236 12218 10739 15739  9907]
5013,[  711  6176 20787  7234 16346  3873 20890  3395 16329 12874]
5014,[19250 23162  3040 15252  7378  6230 21147  5523  6001 17927]
5015,[ 7329  9555  6258  7633 17152  6335 16586 21180 14591 22820]
5016,[ 3192  4059 19548 15342 20203  1608  2695  6208 19739  2609]
5017,[22478 14024  7575 21930 15435  8840 10786  3262  8826  2282]
5018,[ 1009  7581 11010  3453  1608   344 10996 19283  8490 16422]
5019,[19962 20129 21211  9814  7622  3435 12218 16296 15739  5690]
5020,[13948  3435 21211 13877 18764  2705  8828  2237 10522 16328]
5021,[19571 12694  5236 17750 19705  1466  2289 19655  6675 21853]
5022,[ 7167  3533  5477 12116 15080 19115 14599  8060 17775  9338]
5023,[20242 10865 19021 13792 16001 20337 22520 14022  9670 20675]
5024,[10923 17714  1864 14408 12507 10494  1036  1013  1575  5412]
5025,[ 2245 10739  6672  3198 11740  1285 15739 19602 10690 16685]
5026,[10989  4878 16135 17103  8459  1696  7756 10133 15937 14063]
5027,[ 7158  4322 15226  6813 11162 14741 10294 15176  4554 22653]
5028,[ 4200 11740  3631  5461  7558 19036  9388 19864 21630 11723]
5029,[21299 17778   708 12084  7512 19247 18317  1146  8008 14412]
5030,[15904 19019 10977 20192 13015 12718 13810  9146  2573 20986]
5031,[10248  4609 14105 16974  7701 10687 19947 17270 17575  2405]
5032,[13039 18995 13743 16440 16103 16705  7180 16393 16021 13253]
5033,[ 6539  1685  5461  9358 16941  2941 17068 16542 14412  4959]
5034,[20149 13017  8833 12945  7550  6208 10388  4059 16193  3212]
5035,[15904 15601  4157 14330 22115 10945 13082 10977 15656  4078]
5036,[ 6960  2431 17116  6312 14187  7480  7255 22723 11382  9091]
5037,[ 2870  7801 17532  8137  4459 16862 13287 18138 22469  9944]
5038,[15700  8579  7074 20391 11362  7670 23022  5335 10834  9895]
5039,[18317  9895 19247 15717 14412  1112 22321 17514 17264 21337]
5040,[10777 16402  2064  7472 22452 16207 13623 22684 13017 13371]
5041,[16544 16347  5736 16757 16193 16820 16285 16208  8833 11100]
5042,[15335  1526 11302 20826  2441 17209 21723   627 11491 17198]
5043,[19281  9404 14575 18051  2609  2508  5573 19012 11025  7247]
5044,[ 9110 12483 13574  2583  1754  1730  1729 17983 10133 22391]
5045,[ 8987 16044  5655  7756  7400 16820  9751  3089 18060 19548]
5046,[21323  5814  2024 23071 13806  9225 23036 20113 21804 20591]
5047,[20192 19693  1691  1506 19019 13015  4728 12499  4737 18188]
5048,[18143 20587 12861 21685 11310  3864  2559 15870  2564 21560]
5049,[ 9824 22753 14033 10510 22614 10119 13623  9039 12590  4032]
5050,[13727  8900  4200  2684  7983  3462  4669 20498  2257 12544]
5051,[ 3055  7756 19349 11022  3087 21952  1608  2662  1696  8459]
5052,[ 4967  5420 15683  2161  9804  1022  3151 22990  5334  9011]
5053,[ 1853  1854  5844 14104 20193  9971 10761  8591 15227 13375]
5054,[20990 21394 12029 21304 16696  3613 17293 11169  3695  3123]
5055,[ 7973  4669  2630  6225 12285  1392  9967  6704  4757 18899]
5056,[ 1270 10165 13425  3810 11144 22830  5566 12644 13501 12159]
5057,[ 1552  1548  1583 14268  3132 17440  1438  2999 16339 13509]
5058,[12850  3805  5942  8935 13523 14457 17839 11232 11621  7017]
5059,[19876 14579  9450  4964 14361  3460 10136 13913 17387 14337]
5060,[21161  2386 19208 14704 10368 15789  2321 15242 12047  8360]
5061,[ 6829 20623 13169  8860 16989  3631  4213 13951 20297 17310]
5062,[ 5520 22052 17059  5836 16775  7447  1435 21871  2695  1661]
5063,[ 9240  6176 16603 21787 20488 10784 12216 19448 15250 20375]
5064,[17864 22113 17120 15188 15611 21459 14863 20595 20862 14849]
5065,[22115 13082 18612   846 10623 14943 22117  5178 15904  6459]
5066,[ 8560 19022  9509  9739  6781  2402 15022 20059   922 10963]
5067,[14997 13577 13684 16855  8992 18190 21344  3728 13910 22479]
5068,[ 9164  9020  9549 12995 21732 18758  9333  8531  8092 17249]
5069,[17449  6921 14466 20925 10236  5976  4110 16261  1181  6139]
5070,[18246  5031 10252  8663 12501 17350  9055  4051  6972  8873]
5071,[ 2699 10343 19302 13986 12059 20344 19210  9325 21375  2667]
5072,[14063 13563 16193  7207 16551 21453 16510 15342 20964 22756]
5073,[20237 16074 16315 18143 12010  7279 10937 12468 21031 19811]
5074,[10622  5769  7070 17813  2508 20171  3677 21777 13621 16030]
5075,[19605 17198  8267 21303 10628 20826 12159  3931  5558  2014]
5076,[  711  6176  7942 16010 12775 20787  7824 18554 16227  9732]
5077,[  875 21348 19603  3699   624  5196  7710 10713 19227 17832]
5078,[16908 13394 12218 22211  9336 14676  9348 17068  2185  5882]
5079,[ 1435 21871 10762  3668  2609  9367  1279  7791  5836 12199]
5080,[17394 18166 21348  2448  8840 20070 18456 19603 20668  6021]
5081,[20701 19548  3192 22551 16930  4445   890  2313 16510 16551]
5082,[22284  6094  1036 10365 12106   900  2717 20016  3244 10147]
5083,[ 8324  8162  6438  8989  9735  9730  6281 13057  5453  7341]
5084,[19004 13402 18051  2508  9742 19765 11040 13800 10252 22506]
5085,[ 1975 18602 19565 16724  3273 15923 18995 20418 20192 18997]
5086,[20561 13145 14982 16801 10286  9922  3017  6922  9929 12858]
5087,[13470  4427 11038 21843 13628 15290  2689  2633 11761  3422]
5088,[22756 20701 16510 19940 10989 12648 22036  4051 17077 14063]
5089,[20668 10263  2053 21898 15577 22359  4318 20713 10808 21840]
5090,[16225 10304  1183 12460  4575 19002 13032  7218  3390 10490]
5091,[17335 13585 17988  4051 20701  1941 13793  4836 18210   890]
5092,[11358  2313 19940 13635 19242 22756 20701 16510  1135 17059]
5093,[ 4110 21458  3438 12729 18188 13859 19198  2151 20129  3441]
5094,[20664  7885 10393 22609 10937  5048 12874 14205 14323  5039]
5095,[17220 16238 16207 22452 11425 14428 16069 15923 16333 16724]
5096,[ 2695 12789 19548  4445  8927   890  4601 15342 20142 19242]
5097,[22616 10151 18057  8663   808  6210  5973  1528 19451  4987]
5098,[13862 22093  6734 21073  2139  8964 20841 10597  4349  6982]
5099,[ 9279  3415 14144 22834  9778  4185 14559 12108  7548 19147]
5100,[13435 15696  6586  2628 20621  3090 13470 12557 15022   594]
5101,[14190 15442  5523 22477  1043  3173 21950  2635 13749 19018]
5102,[ 3072  5690 17448 22478  9383  4990 11516 18932 18008  3262]
5103,[10365 21489 13401 16791 15721 11123 10035  1994 20016 19104]
5104,[13555  4776  5826 12781  1030 13929  5844 15227 14996 19153]
5105,[20142 10770 12789 11358 12234 22588  9789  4601 13969 17059]
5106,[17871 19693 19620  4670 20143 20609 12734  9935  8088 11734]
5107,[16207 16333 14428 17220 13371  8401  7207 20964  1814 13793]
5108,[ 2346 19198 18470 20541  5412 17234  2185 14065 20762  8599]
5109,[ 2174 17213 18004  7388  4359  4169 19545  4915  7597  1482]
5110,[19830 14128 15516  3014 17114 16274  9920 21017 10969 19684]
5111,[19556 18646  3386 19641 20257   846 20999  5247 16826  3411]
5112,[15695 17813  2257  5003  5769 13298 12480  1332  3800  2544]
5113,[ 1206 10236  2052  6080 11673  8522  5976  5230 21923  6803]
5114,[11463 12535  2824  6117 16437 13611  1937 16036 16802  3965]
5115,[ 1857 10896  2709 19831 19004 11312 14056 18507 18362 20324]
5116,[17445  3040  9121 20550  3122 17125 13749  6744 16880  3222]
5117,[18070 17037 16135 18926 14541  5653   765 13585 12991  2147]
5118,[18577 18974  1069 18729 17763  1926 12131  1423  4757 13116]
5119,[ 8303 22944 18123 10553 19673 17973  9640 20029 10646 11170]
5120,[17157 10294 13372   849 18356  7521  1701 22949 15980 10076]
5121,[14457 11507 14051 22946  4675 13082 16883 10573 20713 10977]
5122,[11479 17234  2701  2714  2716  4689 10217 13985  2476  3695]
5123,[ 5178 10344 13082  3978 18612 19679 16858 10623 17843 13810]
5124,[19989 16510 10293  3986  2381 20701  2695 22756 10996  7080]
5125,[20964  1814 15596 16546 13017  8662  1608 10313 13955  3986]
5126,[20153  2103  4892 13017  3850  2369 20485  4224  3851 12797]
5127,[22391 12479  4529 11314  2340 11023  7015 20360 12098  1016]
5128,[ 4969 10938 12924  7243 22036 12789 15746 16205  9799  9751]
5129,[23071 21981  2207 12863 22641  1940 10118 13078 16317 16266]
5130,[ 9432 14858 16241 15798 10664  4870 12701 20053  8714 10285]
5131,[22115 18612 13082 10791 10834 22117  4775   615 18606  4675]
5132,[10839 22918 10573 10781 10802  2942 10791 11988 10977   846]
5133,[17990 13590  6259 11593 15125  5826  6666  3359 15630 19342]
5134,[ 7713 21833  2286  2940 13072 22048 14769 19758 20211 21764]
5135,[ 6933 22689 15056 12213 10356  2763  9059  7805 11807  4194]
5136,[  888  5412 16908  7721 10217 19962 12218 20541  2346 18627]
5137,[19673 19113  2393  8840 21907 19224 11264 20070  8068  8367]
5138,[12975  3017  7659 21851  1749 11820 15506 12305 10472 19932]
5139,[17445  2594 22037  1132 14034  3044 15252 14465  9840 13034]
5140,[ 9302  5987 20775  2593  7489  9130 22984 13996  5530 18137]
5141,[16564  7550 16426 17317  7928 13532 18684 17245 13464 14063]
5142,[20880  2382 19831  2314 21774  2705 16851 10408 17055 11629]
5143,[10529  2824  9839 17257 19162  6526  1132 11745 17122 16556]
5144,[ 7885 16233 15930  3807  8539 10520 22026 15806 14205  9209]
5145,[ 4969  9799   892  7928 13994 15746 22269  3082 10071 10938]
5146,[16506  4158 16130 19867 16315 13879 20756 15308 16021 16289]
5147,[15356 15357 19281 18970 19447 10673 11874  5993  5841  9828]
5148,[ 5930  3117 12694  2080  8757  5228 21214 15334  6972  3760]
5149,[10622  3437 21938  6446  2680  4200 14320  8299  2077 11442]
5150,[19951  7827  9944  7722  2014 10911 15078 12417 20056 18155]
5151,[ 4045 19552  6229  5573 10870 22667  6259 13611  4913 10673]
5152,[11863 18492  2961  1600  8490  1374 18189 14231  6363  2919]
5153,[18546 17727  4213  9883 19447  8992 15073 18430  5826 13169]
5154,[ 2707 16289 16372 15908 16315  3270  5039 16399 14205 15656]
5155,[10147 12060 17762 16076  1854 22211  6672  9383  6003  1013]
5156,[ 1967 18109  1488 17519 10776  4524 18393 16241 10151 17880]
5157,[15442  5523  5471 23162 15539 23055  4373  8000  6001  2560]
5158,[11656 14330 22800 16168  7828 15049  9123 22523 16883   615]
5159,[ 7183 16521 18894 11530  7079  4729  5884 20269  5645 16391]
5160,[ 1930  6255 19250 23144 19711 20932  9002 23162 17064 14849]
5161,[16207 14428 16371  8668 16333  3029 12945 13955 13879 16036]
5162,[ 7490 23028  7447 15080 12153  5841  5573  5254 14878 11396]
5163,[19739 16551 16206 22756  7550  8833 14063  4059  4445 15342]
5164,[17813  2257  5769 13298  5003 12480 15695  2544  1576 11161]
5165,[16103 16518 16341 20790 16440 16393 11313  7068 13039 16517]
5166,[ 8584  6042  5808  9902  8117  4313 17519  4870  5355  9163]
5167,[11015  5722 14320  4400 21489  2257 17813 16769  1924  6446]
5168,[ 4109 20684 12005 13453 15766  4580 10315 21862 12521  4650]
5169,[14972 15058 15286  5323  3392 17087 13658 13834 12917 15487]
5170,[13082  3947 10977 19327 16883 10993  2942 10623 11507  9752]
5171,[ 9613 20613 16748  6371 22219 20018  8207  8386  4560  5765]
5172,[19977 20895 20609 11223 18460 10353 18040  3916  9935  4972]
5173,[ 3728 17748  9000  4800  5178 22276  4763  3374 16154  7973]
5174,[ 9931 12796 20059 11344 17570  2626 19838  8859 23000 10103]
5175,[ 4110 20484  4737 18738  1924 15995 17449  4904 17291 21458]
5176,[ 7015  8953 11100 12501  5031  4093  2340 20360 15362  6972]
5177,[21950 11182 21184 22292 22621 23006 22102 20989 12087 21186]
5178,[ 4978 17059  4445 17296 22551  9404 19242  3192  4601  4527]
5179,[ 3029 12501 13955 16193 16295  1247  4051 16347 16757 13017]
5180,[22099 22721  6591 18158  7846 20568  2938  6641 23144 20282]
5181,[ 7202 14144  1595  5448  4163 19978 16121 10844  2681 10296]
5182,[ 5489  9334 18763  3455  5488  5222 22997 18272 19127 14531]
5183,[10343 17748  2245  1854 10690  4858 12946  9937 11751 19579]
5184,[ 6643  6947  5451  9358 17843  2714 19962  9336 18115 20366]
5185,[20145  1332 19679 11454  9935  4446  1055 18695 20596  7069]
5186,[18492  1600 12480  8490 22719 10473 10468  7015 17313 11863]
5187,[22830 17874 10687 10651  3259  5308 20700 17248 17641 23101]
5188,[ 4461 17515  3383  7808 11286  9334  5222 22997 12882  5488]
5189,[21426 17775  2939  9338  4986 18859  3606 19176  5456 21513]
5190,[ 6778 14223 16960  7728 17378 16534 10105  2363 18217  2526]
5191,[ 7068 15600 13039  7525 18425 12874 16372 14205  1594 22049]
5192,[ 4166 16247  9141 16399  8783  3735 22614  6725 22753  9469]
5193,[ 4675  5942  5751  4179 22946 19843 10808  8966 10747 16822]
5194,[13116 22575 20344 13986  2684  1305 23146  7768  1576  7983]
5195,[16273 12492 13811 18705  7441  5142 20713 22359  9549 10808]
5196,[ 2709 20324 11223  7201 11312 18362  7188 14056 17871  2314]
5197,[ 2104  1274  4399 17364  6309 12789 10699  1660  7247 20142]
5198,[ 3332 10151 18764  8768   808 14193  9997 22616 10653 17066]
5199,[17193  3212 10473 13924 13969  4051 12501 12576 17367  9055]
5200,[ 1730 18360  1729  8185 22391 11109  1669 16686 10500  2826]
5201,[12543  7939  1016 18387  2947 21214 12984  7163  8641 17246]
5202,[22117  3429  5480  7069 14943 12851 19532  2714  4693 11008]
5203,[ 8026 21360 10086 11288 11186 12114 10183 12127  5195 12063]
5204,[ 2619 10358 14605  3870  9377  5573 12529 19349 17152 17227]
5205,[12066 12204  9353  7490  5841 13400  3533  7447 17819 15080]
5206,[14090 20898  4695  3082  9732  4177  1968  7033  1486  4986]
5207,[14676 12218 16908 22211 16296  1110  5429  9348 17783 19288]
5208,[ 2714 22211 18115 12178  4858 19532 10633  9907  9325  7768]
5209,[ 5918 10412  6617 14031 10346 14110 19738  8562 12388 22747]
5210,[12505  2257 11736 14937 13052 11015  1305 15695  7586  5003]
5211,[16372 12874 15600  2707  7525 16399 14205 13039 13879 18313]
5212,[14602  8530  6315  7822  2940  6316  1740 19672  3385 11363]
5213,[ 2695 12789 20142  4836 17059  4445  9514  7080 14739 19548]
5214,[10430   924 20665  1557  1716 10421  6586 17056  2622  8258]
5215,[19673  9762  1955 22496  2959 21813  2393  4915  2732  5469]
5216,[22024  2402  2457 17015  3003 19201 16777  1344  5669 10244]
5217,[19080  2936 13375 19293 21426 17821  3335 12028 13584 12149]
5218,[ 2736 20546 22211 18115 12178  2716 11169 11426  9325  4518]
5219,[18879 10005 18476 22789 13413 14567 17937 21840  4675 10834]
5220,[ 5826 12695 23021 18546  7243 21704 19222 18657 10743 12636]
5221,[20056 14735 20060  8681  6233  6904 22691 14703 15699  2380]
5222,[10529 12535 14472 17122  2824  9839   843  4481  1132 16092]
5223,[13974 11259 17198  9516  1526  2994  2400 15335 20826  4054]
5224,[13401  2709 12111  1857 11935  1442  1331  1990 19654 16205]
5225,[ 9067 23080 17519  3862  8162  3851 22430  4550 23149  5362]
5226,[12499  4737  4669   868 20484 12729  1567  4110 18507  6422]
5227,[15739  3198  1567  4940  4669 12484   868 21458  6607 13717]
5228,[13937  9752  8993 13957  7426  4512 13082 11507 21720   846]
5229,[21143 19185 17928  5429 15667  3700 16696 20990 12029  9393]
5230,[21765  9483 22097 21654  2326  1864 19579  6794 21255 13937]
5231,[10148 20369 11759 11775  7012 13443  8533 15454 17900  4360]
5232,[ 1305  7768 13986 20344  7780 22575 13116  2684  1576  2233]
5233,[ 6561 22111 10687  3851 16486 15055  6948 13706  2241  7767]
5234,[ 7808 11286 22997 17515 19629  5222 13055 14531 18763 11867]
5235,[ 6367 21723 22995  2862 11491  5367  1216  9602  8702 14358]
5236,[12475  1577 16726 18391 12975  1748  8930  1749 12305  8456]
5237,[16806  7995  5695  3014  6918  7594 17303 19037 10304 18631]
5238,[ 9483  1864  2326 10343 22097 10467 17753  9907 10633 14408]
5239,[19283  5836 16686  8185  7796  2176 18148  3211  1435 10762]
5240,[ 2716 10289  2714  2701 19244  4249 16756 17714 16908 14065]
5241,[ 9739 11795 21865 17690 11195 19614  6337 14329 21999  4664]
5242,[10977  4727 16552  4728 19019  1506  5313  8791 15904   651]
5243,[ 2257 12505 14937 11161 11736  5722 13052 12832  6698 21149]
5244,[22721  6591 20568 17034  7025 11298 17120 15925 18158 14849]
5245,[11169  5132  1036  2717 17234 17293 21394  2736 14408  3613]
5246,[18123 18582  6118  9640  7471 18100  8303 22784 16529 20040]
5247,[16792 17763 20414 13116 17131 15174 19080 21607  8074 13375]
5248,[ 7105 18460  9935 16030 20596 11223 11454  1692  3916 16769]
5249,[ 5826 17348  9253 19222 19157 15662 10479 21810 14870 16855]
5250,[20189 23053 11064 10911  1986  4921 11797 15078 21787 12417]
5251,[10289 18507  9860 12734 16791  2346  9433  2185 12499 16030]
5252,[21394 21304  2701  2714 10690 12178  2716 22211  3695  3613]
5253,[ 1583  1548 14375  6193 18389 20540  2812  1600  6941  6226]
5254,[ 2714  2716 11643 19244 22211  7069 19532 17782 12178 15721]
5255,[ 7207 16233 13017 10520 15930 20606 10119 15998  7248 14205]
5256,[12636 22298 13616  7723  9822  1890 17547  3402  6259  8082]
5257,[10343  2245  1854 10690  4858 12130 20193 12120 17748  2699]
5258,[14769 15971  3654  1902 21685 15081 11513 13060 19208 19086]
5259,[ 8088 14439 22370 21949  6259 13155  9447 14021 15446 18040]
5260,[ 1916 21466 19822   791 15454 16224  4915  3797  1790 14308]
5261,[17391 10025 11424  7059 14200  1359 11118 16695 14128 22320]
5262,[14158  1661 12648 10293  2671 19940  1683 16510  4884 10204]
